"","V1","V2"
"132",16.3808823044678,-26.7593960116574
"133",17.1138318018711,-27.6931074529107
"134",18.2966158163033,-26.8461054280195
"135",19.5116969451327,-26.7460560719016
"136",20.0465625539261,-27.2388644580885
"137",21.7099310993961,-27.8291700777108
"138",23.6897526274335,-27.2665121908079
"139",24.3197785906254,-26.7495874185673
"140",24.9717103537046,-27.7427908331779
"141",26.4793403630523,-27.2409409647022
"142",27.2581712056375,-26.8273112719677
"143",28.1525502643156,-27.7922468108939
"144",29.3535954976696,-27.5926945720331
"145",30.2979825749296,-26.9872630014848
"146",30.9959915551255,-27.792868694947
"147",31.7144647033829,-27.8136636196009
"148",-64.7367657511891,-26.5202727332541
"149",-64.1988554114737,-26.2211315053746
"150",-63.3327235800628,-26.0392307300327
"151",-62.4103269513044,-26.2778348462029
"152",-60.838174441315,-26.1969778471791
"153",-60.0703388348706,-26.1744444360108
"154",-59.5896475989372,-26.6666758510299
"155",-58.0642703208163,-26.4128413840255
"156",-57.7570892327888,-25.6548761537466
"157",-56.8642186270314,-26.5227519348447
"158",-55.7290599990715,-25.8598696863876
"159",-54.3658019354794,-26.7271774953771
"160",16.3148298721382,-25.8217719326757
"161",17.551282690483,-25.9021989212484
"162",18.727044492406,-26.420529742209
"163",19.3550974476463,-25.6978342364656
"164",20.7951136787027,-25.6704918919373
"165",22.1953985695983,-26.2861670194384
"166",23.7480829643008,-26.1514788075754
"167",24.0649273695945,-25.9354791391714
"168",25.4829052332029,-26.5486447322582
"169",26.2048019308076,-26.6774230991104
"170",26.8541841142379,-26.1867047913282
"171",28.4395023874153,-26.1252949035931
"172",29.4271571460772,-26.4667244028135
"173",29.701086183443,-25.6956710272255
"174",32.3797835787876,-25.775820431949
"175",-66.7433359068688,-25.1345236862047
"176",-66.3423227744205,-24.9701813962246
"177",-65.4983750496422,-24.7555502033737
"178",-63.7759357650591,-25.5853486614436
"179",-63.4138259378624,-25.3130619041114
"180",-62.0084410010152,-25.641346233701
"181",-60.9129211032872,-24.6534192679818
"182",-60.1546671678884,-25.3039154615445
"183",-59.1755051553094,-25.6446748222798
"184",-58.2829420782824,-25.3723166793248
"185",-56.9682391772908,-25.4046610775573
"186",-56.1968139574431,-25.1677604629539
"187",-55.5247010636806,-24.6007360701164
"188",-54.2092715426465,-24.6572706607499
"189",-53.9751080308768,-25.3186125017148
"190",16.6938422194889,-24.9907316240363
"191",17.3626510511111,-25.1641085576467
"192",18.3079816792288,-25.645272798165
"193",19.7875597113407,-24.6462780869214
"194",20.37720421456,-25.0043510118226
"195",21.2104399783756,-24.7239861356558
"196",22.7392413478012,-25.5350043975592
