Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T1308,1308,8.1847678,125.30917,0.172887,0.177854,0.181772,0.182739,0.186628,0.189782,0.193292,0.198676,0.201196,0.202847,0.208582,0.211751,0.215268,0.215268,0.215268
T1309,1309,11.050066,125.01667,0.365635,0.367812,0.368877,0.369945,0.371183,0.372038,0.373505,0.374363,0.375105,0.377754,0.379514,0.382233,0.383893,0.383893,0.383893
T1310,1310,8.1589376,125.28250,0.242920,0.247130,0.249649,0.250373,0.253787,0.257178,0.260870,0.265776,0.267751,0.269122,0.275161,0.277421,0.280291,0.280291,0.280291
T1311,1311,8.1956078,125.14472,0.336425,0.338196,0.341687,0.341962,0.345621,0.349539,0.352586,0.356973,0.358312,0.360567,0.369227,0.371284,0.372794,0.372794,0.372794
T1312,1312,10.640563,125.13880,0.144488,0.149969,0.152798,0.155565,0.163809,0.170598,0.176823,0.183210,0.188464,0.198086,0.207411,0.216789,0.223651,0.223651,0.223651
T1313,1313,10.916735,124.45000,0.327313,0.329931,0.332293,0.334668,0.336505,0.341792,0.343416,0.350892,0.352081,0.358197,0.374603,0.376274,0.378408,0.378408,0.378408
T1314,1314,38.478992,57.033450,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278
T1315,1315,37.663911,61.660070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1316,1316,-17.977337,35.703330,0.230311,0.232512,0.233031,0.234838,0.236125,0.240933,0.242686,0.244917,0.246594,0.252179,0.259620,0.263904,0.266457,0.266457,0.266457
T1317,1317,-17.489003,35.239720,0.326903,0.329423,0.333136,0.339159,0.341140,0.347734,0.353117,0.357912,0.361279,0.375808,0.384472,0.385349,0.385799,0.385806,0.385806
T1318,1318,-17.327051,35.584170,0.432731,0.435833,0.440611,0.448369,0.455035,0.481863,0.490450,0.504199,0.514921,0.520256,0.542467,0.552770,0.561932,0.561933,0.561933
T1319,1319,-17.896226,35.832780,0.104629,0.105408,0.105972,0.106520,0.107471,0.108971,0.110978,0.112326,0.113418,0.116262,0.118065,0.120627,0.121866,0.121866,0.121866
T1320,1320,-17.319831,35.154720,0.581658,0.582273,0.582865,0.583350,0.578851,0.591975,0.593995,0.597606,0.600960,0.604808,0.607697,0.610643,0.616792,0.616792,0.616792
T1321,1321,-17.138440,35.315560,0.365554,0.366233,0.366921,0.367101,0.365208,0.369101,0.375681,0.381159,0.386469,0.389720,0.398978,0.401956,0.404361,0.404362,0.404362
T1322,1322,-17.090940,35.732220,0.368610,0.371985,0.381610,0.388623,0.404821,0.442858,0.453139,0.459224,0.472713,0.474926,0.488692,0.500126,0.513693,0.513693,0.513693
T1323,1323,-17.216781,35.783330,0.435934,0.439876,0.451291,0.459325,0.474268,0.513780,0.534681,0.547986,0.567140,0.570780,0.594542,0.604178,0.622262,0.622261,0.622261
T1324,1324,-17.367052,35.349170,0.287460,0.289778,0.291417,0.293544,0.294455,0.300923,0.305295,0.312227,0.315473,0.320941,0.328572,0.334942,0.339459,0.339459,0.339459
T1325,1325,-17.445392,35.659720,0.337818,0.342415,0.350659,0.360798,0.371922,0.403426,0.416417,0.433683,0.446850,0.452984,0.473507,0.483461,0.498632,0.498633,0.498633
T1326,1326,-17.420672,35.065830,0.554528,0.554405,0.554101,0.553842,0.546649,0.563372,0.565499,0.565738,0.566054,0.572945,0.574295,0.575369,0.575373,0.575373,0.575373
T1327,1327,43.422934,59.652320,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
T1328,1328,38.478992,57.033450,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278,0.911278
T1329,1329,15.498707,38.904170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1330,1330,15.509577,38.820260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1331,1331,15.501307,38.859130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1332,1332,15.460127,38.813920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
