Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T1315,1315,37.663911,61.660070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1316,1316,-17.977337,35.703330,656250.,641446.,641815.,633273.,632350.,633374.,631266.,622915.,619971.,605739.,576278.,574617.,573694.,573694.,573694.
T1317,1317,-17.489003,35.239720,210925.,210712.,210174.,209407.,209192.,209312.,208266.,202871.,203190.,202017.,196037.,203057.,202918.,202918.,202918.
T1318,1318,-17.327051,35.584170,350270.,349793.,347559.,343886.,337122.,318176.,312401.,303125.,295602.,293387.,258157.,252334.,248121.,248121.,248121.
T1319,1319,-17.896226,35.832780,3.33223e+006,3.40247e+006,3.44047e+006,3.41736e+006,3.39477e+006,3.38511e+006,3.28053e+006,3.17980e+006,3.15673e+006,3.09424e+006,3.08494e+006,3.02975e+006,2.99505e+006,2.99505e+006,2.99505e+006
T1320,1320,-17.319831,35.154720,239104.,238956.,238024.,237898.,234030.,228724.,228149.,226670.,223511.,218627.,220242.,219531.,219609.,219609.,219609.
T1321,1321,-17.138440,35.315560,544809.,545442.,536104.,529819.,508418.,502968.,493510.,483855.,480202.,478334.,452759.,447571.,448974.,448974.,448974.
T1322,1322,-17.090940,35.732220,1.77001e+006,1.76601e+006,1.68780e+006,1.65359e+006,1.61343e+006,1.39602e+006,1.36817e+006,1.34637e+006,1.26977e+006,1.25668e+006,1.12721e+006,1.08449e+006,1.03213e+006,1.03213e+006,1.03213e+006
T1323,1323,-17.216781,35.783330,936923.,934231.,906509.,873299.,838693.,742433.,703344.,673131.,629429.,627714.,565092.,541796.,508846.,508846.,508846.
T1324,1324,-17.367052,35.349170,775420.,776388.,766774.,754295.,739240.,725154.,718374.,696473.,686396.,677204.,641319.,652126.,647686.,647686.,647686.
T1325,1325,-17.445392,35.659720,660876.,659496.,654653.,647554.,633009.,603708.,597277.,570317.,554230.,545603.,488923.,483769.,472468.,472468.,472468.
T1326,1326,-17.420672,35.065830,105494.,105754.,105075.,104998.,100810.,96266.5,95835.7,96279.1,96698.5,95851.3,95754.1,95859.8,96156.1,96156.1,96156.1
T1327,1327,43.422934,59.652320,19350.0,19350.0,19350.0,19350.0,19350.0,19350.0,19350.0,19350.0,19350.0,19350.0,19350.0,19350.0,19350.0,19350.0,19350.0
T1328,1328,38.478992,57.033450,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5
