Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T1319,1319,-17.896226,35.832780,5.58302e+008,5.57380e+008,5.57149e+008,5.56895e+008,5.56558e+008,5.55664e+008,5.54197e+008,5.52911e+008,5.52207e+008,5.50609e+008,5.49495e+008,5.48446e+008,5.47966e+008,5.47966e+008,5.47966e+008
T1320,1320,-17.319831,35.154720,6.64884e+007,6.64542e+007,6.63327e+007,6.62103e+007,6.58152e+007,5.35743e+007,5.32782e+007,5.28975e+007,5.25753e+007,5.22738e+007,5.18139e+007,5.13657e+007,5.05746e+007,5.05746e+007,5.05746e+007
T1321,1321,-17.138440,35.315560,1.08565e+008,1.08460e+008,1.07517e+008,1.07158e+008,1.04504e+008,1.03185e+008,1.01636e+008,1.00236e+008,9.91935e+007,9.88110e+007,9.15246e+007,8.97795e+007,8.94636e+007,8.94636e+007,8.94636e+007
T1322,1322,-17.090940,35.732220,4.72230e+008,4.71185e+008,4.65752e+008,4.62307e+008,4.53187e+008,4.34732e+008,4.29772e+008,4.26720e+008,4.18501e+008,4.17681e+008,4.07692e+008,4.02661e+008,3.97332e+008,3.97332e+008,3.97332e+008
T1323,1323,-17.216781,35.783330,1.76655e+008,1.76187e+008,1.74212e+008,1.72932e+008,1.53183e+008,1.44903e+008,1.41749e+008,1.39843e+008,1.35500e+008,1.35276e+008,1.32019e+008,1.30220e+008,1.27422e+008,1.27422e+008,1.27422e+008
T1324,1324,-17.367052,35.349170,2.72007e+008,2.71662e+008,2.70785e+008,2.69207e+008,2.66515e+008,2.64372e+008,2.61820e+008,2.59034e+008,2.58049e+008,2.56193e+008,2.51962e+008,2.50736e+008,2.49530e+008,2.49530e+008,2.49530e+008
T1325,1325,-17.445392,35.659720,3.87243e+008,3.86370e+008,3.83685e+008,3.79280e+008,3.74705e+008,3.63062e+008,3.59106e+008,3.52768e+008,3.47873e+008,3.46177e+008,3.35874e+008,3.32865e+008,3.28192e+008,3.28192e+008,3.28192e+008
T1326,1326,-17.420672,35.065830,1.34469e+007,1.34460e+007,1.33695e+007,1.33497e+007,1.31031e+007,1.04571e+007,1.02141e+007,1.01943e+007,1.01808e+007,1.01304e+007,1.00890e+007,9.66240e+006,9.65790e+006,9.65790e+006,9.65790e+006
T1327,1327,43.422934,59.652320,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0
T1328,1328,38.478992,57.033450,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0
T1329,1329,15.498707,38.904170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1330,1330,15.509577,38.820260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1331,1331,15.501307,38.859130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1332,1332,15.460127,38.813920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1333,1333,13.536473,-16.224440,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
T1334,1334,13.416752,-15.283330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1335,1335,13.533413,-14.666670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1336,1336,13.333411,-15.916670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1337,1337,13.416752,-15.616670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1338,1338,13.205911,-16.305560,252900.,252900.,252900.,252900.,252900.,252900.,252900.,252900.,252900.,252900.,252900.,252900.,252900.,252900.,252900.
T1339,1339,13.180360,-16.495000,1.87110e+006,1.87110e+006,1.86300e+006,1.86300e+006,1.85940e+006,1.85850e+006,1.85670e+006,1.85310e+006,1.82250e+006,1.82250e+006,1.82250e+006,1.82250e+006,1.82250e+006,1.82250e+006,1.82250e+006
T1340,1340,13.483413,-15.966670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1341,1341,13.521473,-16.006940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1342,1342,13.566753,-15.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1343,1343,13.250081,-15.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1344,1344,13.500083,-15.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1345,1345,13.250081,-15.883330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1346,1346,13.533413,-16.280560,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0
T1347,1347,13.400082,-16.455560,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.
T1348,1348,13.566753,-15.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1349,1349,13.616753,-15.183330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1350,1350,13.507303,-16.067220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1351,1351,13.550083,-15.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1352,1352,13.507023,-16.082220,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0
T1353,1353,13.400082,-15.766670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1354,1354,13.233411,-15.816670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1355,1355,13.490363,-16.464440,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.,992700.
T1356,1356,13.583413,-14.783330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1357,1357,13.522863,-16.027780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1358,1358,13.383412,-15.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1359,1359,13.353972,-16.070000,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0
T1360,1360,13.433412,-15.583330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1361,1361,13.499523,-16.266670,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0
T1362,1362,13.700084,-15.333330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1363,1363,13.550083,-14.483330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1364,1364,13.533413,-15.916670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
