"","carbonTonnes","LAT","LON"
"151",88383.8362325885,15.501307,38.85913
"152",88377.4925354467,15.509577,38.82026
"153",91670.9208627372,13.550083,-15.4
"154",91388.3182770827,13.490363,-16.46444
"155",32922.4764572408,13.616753,-15.18333
"156",91318.243117276,13.205911,-16.30556
"157",127807.341270999,13.507303,-16.06722
"158",127577.702816791,13.18036,-16.495
"159",36912.7042498194,13.700084,-15.33333
"160",91524.0942365134,13.400082,-15.76667
"161",91538.5113023689,13.533413,-15.91667
"162",33007.3604261597,13.583413,-14.78333
"163",91440.1316092032,13.499523,-16.26667
"164",91648.3991163289,13.416752,-15.28333
"165",127822.243056906,13.483413,-15.96667
"166",127896.647409448,13.433412,-15.58333
"167",127777.046961642,13.333411,-15.91667
"168",127803.082584031,13.507023,-16.08222
"169",69382.8947665484,13.550083,-14.48333
"170",127882.137505391,13.416752,-15.61667
"171",127826.980372334,13.521473,-16.00694
"172",91507.3109901194,13.522863,-16.02778
"173",91483.7866824518,13.530643,-16.13639
"174",127763.58669988,13.233411,-15.81667
"175",127753.626365306,13.250081,-15.88333
"176",91464.4950591034,13.536473,-16.22444
"177",91459.1744651812,13.400082,-16.45556
"178",91695.1087762959,13.566753,-15.75
"179",91535.6089834541,13.353972,-16.07
"180",33016.5929211896,13.533413,-14.66667
"181",91480.5508148011,13.493003,-16.09047
"182",91434.0949608854,13.250081,-15.9
"183",91694.7955882912,13.566753,-15.75
"184",91710.0397211649,13.383412,-15.4
"185",91669.2811955932,13.500083,-15.75
"186",91552.5704291926,13.533413,-16.28056
"187",219534.771255033,6.3082564,-0.22807
"188",33681.2196091106,5.8153635,-0.26166
"189",7556.51966295165,-24.466849,44.96667
"190",7228.65183966149,-25.100186,44.61667
"191",7507.16562477209,-24.500179,44.81667
"192",NA,-25.033515,44.06667
"193",78211.3652169173,-17.500113,48.5
"194",93294.5877236617,11.317618,-5.66654
"195",9937.65058275106,14.252688,-5.993
"196",10090.0709870899,14.732892,-6.1219
"197",9813.2717335548,14.995653,-7.66836
"198",10365.1448216873,14.48439,-4.18296
"199",9715.10158737192,13.930576,-5.97878
"200",93111.4422324792,12.589246,-7.98967
"201",35039.8079635005,13.431782,-6.2157
"202",9772.72872351686,14.066087,-5.9549
"203",9836.1978081833,14.250088,-5.98333
"204",9694.80338584004,13.922186,-6.0486
"205",93132.1203856887,12.650077,-8
"206",10333.6435191883,13.860225,-3.33328
"207",14749.733778293,17.572613,8.9439
"208",14815.4347460427,18.482621,7.78444
"209",15188.8059866901,19.066796,8.4
"210",14917.3175412338,18.114558,8.77917
"211",15030.3578828015,18.000117,9
"212",37176.3339869909,12.291054,4.32893
"213",NA,13.820605,-16.7544
"214",8167.20285108081,15.000093,-14
"215",7675.92085685715,15.416767,-16.66667
"216",7918.34083945302,15.92033,-16.46207
"217",11925.8759686764,15.985571,-16.51331
"218",37237.979370635,13.007769,-12.91459
"219",32905.5539706371,-26.673395,31.5566
"220",32910.5686469581,-26.794816,31.76756
"221",65235.4967131805,-26.742196,31.70293
"222",65228.7970906746,-26.702735,31.61367
"223",118149.30850985,1.2693872,34.33296
"224",118044.391984124,1.053946,34.24026
"225",117985.009068992,0.89631509,34.24509
"226",118165.761882146,1.2952674,34.36031
"227",118015.476889608,0.98905562,34.22459
"228",117996.486950906,0.90650515,34.27615
"229",-4684.17306603449,-28.516899,20.21667
"230",597.271994559908,-26.900208,20.68333
"231",39622.9264384686,-0.527313,34.45714
"232",224326.389191619,-1.3316776,31.81222
"233",225516.598450535,-0.10221058,34.76171
"234",38584.7524071846,-2.5166843,32.9
