"","V1","V2"
"231",29.5799794084012,-24.0062133834336
"232",30.2274141863761,-23.8691134732273
"233",31.202034135837,-24.241082741909
"234",32.472162851103,-24.1262883248326
"235",32.7298191733947,-24.7036264549687
"236",34.2377444853475,-24.6950128034431
"237",43.8373175390431,-23.6758862090006
"238",44.7625027782516,-23.7425133066869
"239",47.1376119944729,-24.4609230082098
"240",47.5555599697901,-23.7331350892078
"241",-67.0993664232518,-22.633360610043
"242",-66.0436436924187,-22.7935942280199
"243",-65.3629666116004,-23.5557759010849
"244",-64.8187824089542,-23.0546814440507
"245",-63.2627469059388,-22.8051740774666
"246",-62.8373826802099,-22.6018625039134
"247",-61.9455318365509,-22.8644738984636
"248",-61.0243455756277,-23.1834620092342
"249",-60.0452608327037,-22.8407800718988
"250",-58.5271937278744,-22.9139803387614
"251",-57.5837947580298,-23.5994023878089
"252",-56.774219018095,-22.6048101889752
"253",-55.4563855543187,-22.7652391150915
"254",-55.161405111214,-23.5610383545356
"255",-54.2241153847803,-22.6977945482424
"256",18.5760200592178,-23.0264597901177
"257",19.6117498744054,-23.4566991570081
"258",20.9080458669194,-22.6192710955183
"259",21.6068073062116,-23.3464671096979
"260",22.0706043562482,-23.3093195695141
"261",23.4742795954706,-23.1175000945844
"262",25.1251590867495,-23.291550269851
"263",29.8507660169116,-22.6909296883275
"264",31.5606381443815,-22.8577673652687
"265",32.1389405626943,-23.0382747331996
"266",33.3420978684408,-22.596872022634
"267",34.3804560599116,-23.4893138355934
"268",44.0840168917285,-22.7121540449201
"269",44.3614354212279,-23.3977470678703
"270",45.8762235025933,-22.8477754925759
"271",46.2230539314094,-22.9507657075555
"272",-67.979077752157,-22.4362664739883
"273",-67.5529898988902,-22.5104954107002
"274",-66.1204490116199,-21.7559093903813
"275",-65.6264705733958,-22.5609251186277
"276",-64.336390457526,-21.7759673154382
"277",-63.211169636358,-21.6974568002569
"278",-62.5720679202266,-22.2689302701683
"279",-61.4951089375931,-22.567290046802
"280",-60.4818945237911,-21.7138869828966
"281",-59.3115360055515,-22.0548642556139
"282",-58.5279647318562,-22.2722389516554
"283",-58.0331005167555,-22.286503714087
"284",-56.5776564991627,-22.3418187372089
"285",-55.8615819590186,-21.8473597802617
"286",-54.3418143853571,-22.3867162507517
"287",19.9756271146904,-22.0204915571593
