"","LTDR_outcome_mean","LTDR_outcome_max","pre_average_NTL","pre_average_LTDR","pre_max_LTDR","pre_min_temp","pre_max_temp","pre_average_temp","pre_max_precip","pre_min_precip","pre_average_precip","post_implementation_time","year","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","treatment","latitude","longitude","total_disbursements","MultiFocal","pred_trt_NDVI"
"213",1.11741820611e-05,2.02332451714333e-05,0,1173.59415039028,1902.5513525404,18.775,34.34,27.9266666666667,39.887,0,6.5985,8,"2006",1515.45300292969,5331.10205078125,519.42247827,0.775372385979,431.763126727,0.617100775241852,0,2.04456026156e-05,1,18.4826209571451,7.78444,4633383.52832,0,-2.84639680262961e-05
"210",1.07519234890444e-05,1.86314773220333e-05,0,1144.57449951188,1815.7781835936,15.6106666666667,31.1586666666667,24.7845555555556,40.7133333333333,0,6.78188888888889,8,"2006",2533.08862304688,9070.5439453125,1089.04269344,3.3951690197,1701.98018232,0.704841732978821,2,6.44447267264e-05,1,18.1145578759138,8.77917,4633383.52832,0,2.84569908633241e-05
"212",1.05167057970022e-05,1.71410206434444e-05,0,1114.9618066408,1756.9609277356,16.656,32.341,25.875,28.297,0,4.2875,8,"2006",1923.37060546875,7913.7607421875,773.111983887,2.97063302994,993.162983425,0.617100834846497,3,3.59369998459e-05,1,19.0667959439487,8.4,4633383.52832,0,1.03242534995717e-05
"252",2.04922302246e-05,5.73910522460667e-05,0.154226948058056,2182.83018275643,5519.93113490464,20.4160714285714,26.4651785714286,23.1044642857143,300.378571428571,0.08125,65.9950892857143,5,"2009",2578.94848632812,1459.11462402344,1778.98314026,6.58009290695,273.38364524,115.610023498535,0,2.09197297084,1,14.0000861974907,38.41667,9207323.5263,1,-4.54970670733058e-06
"244",2.295336079915e-05,6.9361011556e-05,0.0331958420425889,2408.91404942107,6639.18833705357,17.6892857142857,22.0678571428571,19.440625,346.871428571429,2.29642857142857,113.286607142857,5,"2009",2292.47143554688,9696.88671875,1831.77426425,3.77843308449,676.776186579,119.547187805176,1,11.8479163227,1,11.3333978540363,36.75,9207323.5263,1,1.23046022035778e-06
"250",2.63510465494667e-05,7.90144978841333e-05,0,2692.74149867464,7722.86190360036,21.2142857142857,24.997619047619,22.9575396825397,293.652380952381,20.9892857142857,144.265873015873,5,"2009",2785.03369140625,16816.212890625,1083.00443975,4.08343982697,1091.21004942,29.40207862854,3,78.6593965107,1,7.33337257935979,35.16667,9207323.5263,1,5.7825577714515e-06
"298",3.1735291442875e-05,7.37579620361375e-05,0.1078220858896,2964.70996093808,6793.21974534269,25.3538461538462,29.4038461538462,27.2028846153846,670.3,0.00192307692307692,185.628846153846,7,"2007",2123.67041015625,372.812042236328,119.537358728,2.82809114456,234.331833061,34.4948692321777,0,28.6715270505,1,10.7500640207238,-14.21667,7528500.75285,0,9.24680669474087e-06
"294",2.84551693725625e-05,7.25561895751875e-05,0.0404456654456563,2630.27106182385,6628.57042517923,20.3663461538462,25.6403846153846,22.6032051282051,385.659615384615,0.702884615384615,121.092788461538,7,"2007",2319.7509765625,337.481414794922,811.980680869,2.79658436775,138.644026187,56.7607841491699,0,17.4753364159,1,11.2167370827556,-12.06667,7528500.75285,0,5.7825577714515e-06
"388",1.283472973632e-05,2.62829584961e-05,0.01055959919557,1355.98293541379,2553.62173777483,6.09310344827586,24.1801724137931,14.635775862069,64.126724137931,0.449137931034483,18.8485632183908,4,"2010",1911.93627929688,5974.04443359375,1163.14669513,0.991847932339,210.927526132,19.3147640228271,3,0.00971808795771,1,33.8498265757967,-2.56247,6285018.86002,1,-3.57621481908233e-06
"393",1.322572460938e-05,2.596608203126e-05,0.000368310559463684,1402.33575650034,2519.30181674241,5.04942528735632,24.3816091954023,14.3310344827586,55.2287356321839,0.273563218390805,15.8658045977011,4,"2010",1876.17272949219,5609.19775390625,1272.83520399,1.00728619099,212.816852368,21.3924083709717,2,0.00233603450948,1,33.7081838466949,-2.82133,6285018.86002,1,-3.57621481908233e-06
"392",1.36895324707e-05,2.312030273438e-05,0.484419665298684,1401.23128114931,2258.97145238483,7.19741379310345,31.1620689655172,18.8229166666667,45.7887931034483,0.828448275862069,14.0426724137931,4,"2010",2363.36987304688,5788.111328125,1268.91398141,2.61437249184,310.101485149,3.83843183517456,1,0,1,32.4483306615899,-1.88151,6285018.86002,1,1.03242534995717e-05
"386",1.624003613282e-05,4.36733823242e-05,0.696076353671316,1511.86988988414,3647.64097016414,7.07586206896552,24.5008620689655,15.2159482758621,74.875,0.81551724137931,24.6272270114943,4,"2010",2311.86059570312,5309.69970703125,1057.30798479,2.2920217514,122.235924007,60.1341018676758,2,0.316905091235,1,34.3389062006057,-1.87936,6285018.86002,1,1.48653383104002e-07
"395",1.285937988282e-05,2.201775292968e-05,0,1319.12351831931,2157.77534853207,7.73218390804598,32.1827586206897,19.5501915708812,44.0568965517241,0.328735632183908,11.7287356321839,4,"2010",3169.40478515625,4676.71533203125,1211.31012658,3.6974234581,313.698761062,3.24617123603821,0,0,1,32.2446070876817,-1.54034,6285018.86002,1,1.03242534995717e-05
"387",1.312572778318e-05,2.670371435546e-05,0.506136280825999,1377.22666773345,2551.38953057621,6.14942528735632,24.5459770114943,14.7632183908046,69.0229885057471,1.08735632183908,23.0929118773946,4,"2010",2520.8974609375,3727.50952148438,1067.88487484,0.815362691879,160.019437695,14.7882814407349,3,0,1,33.9159678590339,-1.78552,6285018.86002,1,-3.81273814934444e-05
"390",1.28947270508e-05,2.150276245116e-05,0.00883751918278421,1380.70094457103,2334.29860503103,6.24655172413793,28.1491379310345,16.896408045977,51.3112068965517,0.75948275862069,17.5243534482759,4,"2010",1877.49304199219,6234.0927734375,1271.88846119,0.778111994267,274.152631579,3.83843207359314,4,0,1,33.2108644651133,-2.55645,6285018.86002,1,1.03242534995717e-05
"394",1.327817700194e-05,2.42371875e-05,0.000110454520351053,1413.93519329172,2418.43390944897,4.72758620689655,24.076724137931,14.0310344827586,53.9353448275862,0.261206896551724,15.6119252873563,4,"2010",2244.599609375,6415.49658203125,1316.13116802,1.08782851696,245.44991274,20.1644802093506,2,0,1,33.5333705137291,-3.07021,6285018.86002,1,-3.57621481908233e-06
"389",1.26116489258e-05,2.313493920898e-05,0.0205406908377295,1333.48817812138,2356.49683459,6.09310344827586,24.1801724137931,14.635775862069,64.126724137931,0.449137931034483,18.8485632183908,4,"2010",1856.15209960938,5021.9951171875,1061.69786025,0.587816596031,161.536483669,15.6736001968384,2,0,1,33.8940874338939,-2.3138,6285018.86002,1,-3.57621481908233e-06
"391",1.351542895508e-05,2.222187353516e-05,0.139541407453584,1421.33245639138,2394.04647511483,7.20948275862069,30.1887931034483,18.2922413793103,48.7724137931034,0.59051724137931,14.8628591954023,4,"2010",2776.14770507812,4269.27490234375,1278.78598281,0.673920869827,207.383672039,3.83843183517456,4,0,1,33.1735537736048,-1.96537,6285018.86002,1,1.03242534995717e-05
"385",1.304555200196e-05,2.567468725586e-05,0.374502506591895,1354.50614350517,2446.91851596138,6.25344827586207,24.3956896551724,14.7349856321839,69.7422413793103,0.992241379310345,22.8709770114943,4,"2010",1497.32080078125,3906.19067382812,988.859093731,0.888175487518,104.42450538,15.7575597763062,2,0.000120568693198,1,34.0095396841871,-2.11053,6285018.86002,1,-3.57621481908233e-06
"12",1.2006492309575e-05,4.516981689455e-05,0.53509433739827,984.897772216467,3592.996048991,-16.7941666666667,23.5541666666667,6.13625,34.4216666666667,2.3875,13.8610416666667,3,"2011",1546.03747558594,7146.61669921875,248.422461116,0.564347207546,451.713729017,20.1799373626709,0,0.0258890311278,1,44.8673151748629,82.68333,2936359.15146,1,1.99754725331542e-06
"37",2.264837451174e-05,6.137517187498e-05,0.114945991306926,2172.47497137724,5826.08031384759,25.676724137931,31.7336206896552,28.3057471264368,257.128448275862,0.13448275862069,83.9986350574713,4,"2010",2053.43530273438,4768.91064453125,239.481857158,1.36487329006,170.502044154,86.2181930541992,0,6.26724650647,1,10.5681228367499,-0.52237,7491617.77033,0,9.24680669474087e-06
"36",2.278434277344e-05,6.582151757814e-05,0.000322893122376316,2133.02496548345,5992.25633081897,25.8810344827586,32.0034482758621,28.4803879310345,254.90775862069,0.0853448275862069,81.2364942528736,4,"2010",1837.58386230469,4496.06591796875,138.978522787,0.326827824116,232.631167763,29.8703575134277,0,7.11615935145,1,10.3303312973641,-1.083,7491617.77033,0,-1.51454400950299e-05
"38",2.28777631836e-05,6.624664257812e-05,0.000797121744189474,2144.91752677138,6035.84400255966,25.9965517241379,31.9413793103448,28.5025862068966,245.627586206897,0.0689655172413793,81.5899425287356,4,"2010",1896.396484375,2823.46801757812,146.8278826,0.340662658215,201.504508197,26.5718975067139,0,8.12528060751,1,10.26673088715,-1.25,7491617.77033,0,-1.51454400950299e-05
"63",1.57596745954286e-05,5.21105545479857e-05,1.05679679583051,1603.51854564481,5316.41393590926,21.5703703703704,23.0444444444444,22.4228395061728,401.781481481481,80.9314814814815,213.443209876543,6,"2008",1993.69067382812,2120.15307617188,94.7962796952,2.78820419312,320.272329247,15.6556873321533,0,39.3008066232,1,9.57134644214811,-82.56485,3584596.47685,1,-1.52843556251771e-06
"145",2.601499316405e-05,5.954975683594e-05,19.6330962949571,2444.57806396333,5810.0342407225,-1.434375,26.0510416666667,12.9307291666667,92.303125,5.59270833333333,38.00078125,9,"2005",1745.44177246094,2217.90698242188,585.951118677,1.40594542027,95.2258576874,537.320495605469,0,0.149843529228,1,40.9049638010205,72.3426,18756602.315172,0,1.81874951950522e-05
"205",1.68062788086e-05,4.393166699218e-05,0.000510366826156316,1678.38978734586,4091.41749730655,23.3939655172414,33.9629310344828,28.88125,192.063793103448,0.000862068965517241,45.416091954023,4,"2010",1442.66516113281,3173.58129882812,264.328299545,0.149269044399,260.036076206,40.0781669616699,0,0.0140124181271,1,13.8602251983081,-3.33328,8487007.54401,0,-1.51454400950299e-05
"140",2.522043823242e-05,7.1892234375e-05,2.73117283950643,2251.04181925375,6445.78980509458,-7.35416666666667,21.3041666666667,7.39704861111111,90.121875,7.05729166666667,34.9581597222222,9,"2005",1923.33935546875,2619.88916015625,1369.39151649,5.33415555954,194.455696203,45.0442047119141,0,8.56955308037,1,42.8491918786468,75.34424,7288807.315172,0,1.81874951950522e-05
"13",7.2847077941875e-06,2.9838508911125e-05,0.338182322774445,656.3275309244,2586.254085286,-16.5908333333333,24.2208333333333,6.70118055555556,32.5225,1.79833333333333,12.41,3,"2011",1261.13110351562,14410.3505859375,282.682497332,0.762615382671,498.947541966,12.2464771270752,0,0.0115471203267,1,44.8839759241699,83,2936359.15146,1,1.99754725331542e-06
"135",8.02961646446923e-06,3.38841346153923e-05,0,721.890947614429,2442.1715262281,20.672619047619,27.4690476190476,24.3282738095238,400.360714285714,1.66666666666667,127.537400793651,12,"2002",2591.01293945312,20881.2109375,476.001040799,0.00143184454646,185.768948655,347.835845947266,0,0.0211800093932,1,-12.0000723083638,34.5,1447976.81418,0,1.6968896262165e-06
"196",2.526070739745e-05,7.3251789550775e-05,0.02849884666344,2357.24711100233,6798.799625651,16.165,22.8466666666667,19.9281944444444,440.591666666667,9.18916666666667,142.459652777778,3,"2011",1969.95544433594,3010.021484375,835.583519837,1.85497820377,231.747213376,94.0787734985352,1,19.0428158903,1,-17.5001128320924,48.5,5821410.95215,0,-4.54970670733058e-06
"357",1.72917572021333e-05,4.67675887044167e-05,0.0707206075875056,1698.69995553071,4156.23743547679,23.5794642857143,33.5428571428571,28.700744047619,197.802678571429,0,49.6360119047619,5,"2009",2143.669921875,2623.70654296875,331.936698386,0.754357218742,225.057801132,70.5280303955078,0,0.159675438951,1,13.3691917250434,-1.52371,2133805.69372,0,5.661032065168e-06
"15",2.551035095215e-05,6.86647296142625e-05,0.000616016427105,2412.27838134731,6441.76558743962,21.5410256410256,27.2717948717949,24.8754273504274,136.053846153846,1.68076923076923,39.9044871794872,7,"2007",2667.48266601562,7275.07373046875,576.246898002,1.15467655659,433.050409836,8.5516357421875,0,11.4494212786,1,-9.66672704759548,-38.66667,10755001.0755,1,-1.52843556251771e-06
"17",9.3302419281075e-06,2.77248324585e-05,0.00022672309552625,1017.68858220058,2625.40279916615,3.06442307692308,19.1855769230769,11.2731570512821,62.5673076923077,1.14903846153846,18.8596955128205,7,"2007",2637.8173828125,6888.23828125,409.993896786,2.00217032433,404.707524272,0.0884174928069115,0,9.92035373147e-05,1,-44.0006076458129,-68,5575355.99054,0,-3.57621481908233e-06
